,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,
SK1_08T01260.1|CDS=1-288|Name=YHR079C-A|SAE3,53.94673463,4.299538958,0.942477013,24.14248127,7.48E-05,0.003254249,p < 0.05,SAE3,FALSE,NA,1
SK1_11T00070.1|CDS=1-1851|Name=YKL217W|JEN1,314.2440842,0.642335132,0.230921828,23.52100556,9.96E-05,0.00430078,p < 0.05,JEN1,FALSE,NA,1
SK1_11T00270.1|CDS=1-1389|Name=YKL194C|MST1,1388.273061,-0.734259973,0.183365085,23.46517928,0.000102216,0.004378637,p < 0.05,MST1,FALSE,NA,0
SK1_04T06130.1|CDS=1-1182|Name=YDR427W|RPN9,2394.077196,-0.357200955,0.165243196,23.23005603,0.000113906,0.004841871,p < 0.05,RPN9,FALSE,NA,0
SK1_10T02920.1|CDS=1-3357|Name=YJR109C|CPA2,2230.997582,-0.169035818,0.086197251,22.90034967,0.000132565,0.005592002,p < 0.05,CPA2,FALSE,NA,0
SK1_06T00060.1|CDS=1-1023|Name=YNL332W/YFL058W|YNL332W/YFL058W,261.9857452,-1.176111508,0.350818756,22.69491253,0.000145693,0.006053396,p < 0.05,YNL332W/YFL058W,FALSE,NA,0
SK1_07T02980.1|CDS=1-1113|Name=YGR079W|YGR079W,2189.062592,-0.503552044,0.151142972,22.70676392,0.000144902,0.006053396,p < 0.05,YGR079W,FALSE,NA,1
SK1_14T00940.1|CDS=1-1056|Name=YNL231C|PDR16,3834.710779,-0.492825727,0.149713545,22.61677024,0.000151019,0.006227847,p < 0.05,PDR16,FALSE,NA,0
SK1_04T04120.1|CDS=1-2511|Name=YDR207C|UME6,2217.205374,0.503989165,0.128893754,22.15983412,0.000186259,0.007624199,p < 0.05,UME6,FALSE,NA,1
SK1_13T03790.1|CDS=1-684|Name=YMR271C|URA10,263.4306146,-0.512896141,0.173314125,22.02236056,0.000198377,0.008060516,p < 0.05,URA10,FALSE,NA,0
SK1_07T04340.1|CDS=1-1782|Name=YGR225W|AMA1,138.5321548,0.640945928,0.227449644,21.71547554,0.000228321,0.009209511,p < 0.05,AMA1,FALSE,NA,1
SK1_02T01930.1|CDS=1-1404|Name=YBR092C|PHO3,3876.172567,-0.649546694,0.143412586,21.60290451,0.000240394,0.009626228,p < 0.05,PHO3,FALSE,NA,0
SK1_16T02520.1|CDS=1-3987|Name=YPL016W|SWI1,1145.002226,-0.487655033,0.127950354,21.52996252,0.000248553,0.009881329,p < 0.05,SWI1,FALSE,NA,0
SK1_14T02870.1|CDS=1-3135|Name=YNL014W|HEF3,1003.889033,-0.514103446,0.195072837,21.48108041,0.000254174,0.010032602,p < 0.05,HEF3,FALSE,NA,0
SK1_04T02410.1|CDS=1-1194|Name=YDR018C|YDR018C,111.9536279,0.662143117,0.255384774,21.42629209,0.000260623,0.010214218,p < 0.05,YDR018C,FALSE,NA,1
SK1_15T02480.1|CDS=1-885|Name=YOR114W|DPI34,153.3941453,-0.380188588,0.205894226,21.21007696,0.000287698,0.011195911,p < 0.05,DPI34,FALSE,NA,0
SK1_12T01830.1|CDS=1-873|Name=YLR132C|USB1,161.2533533,0.617466953,0.225450716,21.11472928,0.000300506,0.011612573,p < 0.05,USB1,FALSE,NA,1
SK1_02T00930.1|CDS=1-2688|Name=YBL014C|RRN6,902.5613504,0.245052631,0.081783945,20.97238422,0.000320687,0.012264268,p < 0.05,RRN6,FALSE,NA,1
SK1_10T01990.1|CDS=1-1464|Name=YJR006W|POL31,751.8126543,0.225923517,0.104541796,20.94966904,0.000324029,0.012264268,p < 0.05,POL31,FALSE,NA,1
SK1_12T04520.1|CDS=1-567|Name=YLR445W|GMC2,61.02627203,1.351485435,0.438570362,20.95579766,0.000323124,0.012264268,p < 0.05,GMC2,FALSE,NA,1
SK1_16T03990.1|CDS=1-621|Name=YPR151C|SUE1,116.411683,0.613599729,0.292463157,20.5561413,0.000387726,0.01457535,p < 0.05,SUE1,FALSE,NA,1
SK1_05T01800.1|CDS=1-1929|Name=YER103W|SSA4,346.0042968,0.232614719,0.148772737,20.44464741,0.000407928,0.015231167,p < 0.05,SSA4,FALSE,NA,0
