,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_13T02330.1|CDS=1-1779|Name=YMR120C|ADE17,1185.359159,-3.09823833,0.258939641,-11.96509859,5.41E-33,1.73E-31,DOWN,ADE17,FALSE,NA,HIT
SK1_08T00860.1|CDS=1-1935|Name=YHR039C|MSC7,1171.547517,-2.298467822,0.192863527,-11.91758678,9.58E-33,3.02E-31,DOWN,MSC7,FALSE,NA,HIT
SK1_13T02210.1|CDS=1-2064|Name=YMR108W|ILV2,5289.396384,-2.089101756,0.175326173,-11.91551564,9.83E-33,3.06E-31,DOWN,ILV2,FALSE,NA,HIT
SK1_16T00610.1|CDS=1-2382|Name=YPL221W|FLC1,1008.514393,-1.881539034,0.158665953,-11.85849261,1.94E-32,5.95E-31,DOWN,FLC1,FALSE,NA,HIT
SK1_16T02100.1|CDS=1-1503|Name=YPL061W|ALD6,1083.535871,-3.421245872,0.291402276,-11.74062852,7.89E-32,2.39E-30,DOWN,ALD6,FALSE,NA,HIT
SK1_01T00850.1|CDS=1-1782|Name=YAL067C|SEO1,535.4791102,-2.234584407,0.190608829,-11.7234045,9.67E-32,2.88E-30,DOWN,SEO1,FALSE,NA,HIT
SK1_03T00900ps.1|CDS=1-407|Name=YCR031C_pseudogene|YCR031C_pseudogene,1287.353325,-1.583464731,0.135276235,-11.70541694,1.20E-31,3.54E-30,DOWN,YCR031C_pseudogene,FALSE,NA,HIT
SK1_11T02620.1|CDS=1-264|Name=YKR057W|RPS21A,374.5761978,-1.774419712,0.151618228,-11.70320834,1.23E-31,3.62E-30,DOWN,RPS21A,FALSE,NA,HIT
SK1_08T01860.1|CDS=1-978|Name=YHR143W|DSE2,193.5538627,-2.789914605,0.238639307,-11.69092654,1.42E-31,4.14E-30,DOWN,DSE2,FALSE,NA,HIT
SK1_11T01510.1|CDS=1-1080|Name=YKL060C|FBA1,20033.84806,-2.512405204,0.215127574,-11.67867587,1.64E-31,4.75E-30,DOWN,FBA1,FALSE,NA,HIT
SK1_13T02020.1|CDS=1-1689|Name=YMR088C|VBA1,434.1450558,-2.167502073,0.186021424,-11.65189485,2.24E-31,6.48E-30,DOWN,VBA1,FALSE,NA,HIT
SK1_16T01930.1|CDS=1-594|Name=YPL081W|RPS9A,144.0092881,-3.20194851,0.275328557,-11.62955469,2.92E-31,8.37E-30,DOWN,RPS9A,FALSE,NA,HIT
SK1_07T01120.1|CDS=1-654|Name=YGL135W|RPL1B,1064.750707,-2.10080362,0.180896631,-11.61328216,3.53E-31,1.01E-29,DOWN,RPL1B,FALSE,NA,HIT
SK1_13T02290.1|CDS=1-960|Name=YMR116C|ASC1,2075.124266,-2.305851022,0.198816579,-11.59788098,4.22E-31,1.19E-29,DOWN,ASC1,FALSE,NA,HIT
